location,hosp_patients_per_million,gdp_per_capita,population,continent
Bulgaria,1526.846,18563.307,6781955.0,Europe
Serbia,1416.129,14048.881,6871547.0,Europe
Romania,1065.706,23313.199,19659270.0,Europe
Lithuania,934.889,29524.265,2750058.0,Europe
Czechia,910.14,32605.906,10493990.0,Europe
Poland,874.724,27216.445,39857144.0,Europe
Croatia,738.395,22669.797,4030361.0,Europe
Slovakia,701.343,30155.152,5643455.0,Europe
Portugal,668.785,27936.896,10270857.0,Europe
Italy,652.247,35220.084,59037472.0,Europe
Belgium,640.104,42658.576,11655923.0,Europe
Slovenia,624.575,31400.84,2119843.0,Europe
Wales,614.826,,3170000.0,Europe
England,607.179,,56550000.0,Europe
United Kingdom,573.894,39753.244,67508936.0,Europe
Spain,568.33,34272.36,47558632.0,Europe
Northern Ireland,558.544,,1896000.0,Europe
Estonia,552.764,29481.252,1326064.0,Europe
Austria,524.519,45436.686,8939617.0,Europe
France,493.504,38605.671,67813000.0,Europe
United States,456.7,54225.446,338289856.0,North America
South Korea,440.213,35938.374,51815808.0,Asia
Scotland,440.176,,5466000.0,Europe
Malaysia,434.702,26808.164,33938216.0,Asia
Switzerland,425.149,57410.166,8740471.0,Europe
Israel,393.057,33132.32,9449000.0,Asia
Ireland,386.414,67335.293,5023108.0,Europe
Luxembourg,381.408,94277.965,647601.0,Europe
Japan,358.672,39002.223,123951696.0,Asia
Cyprus,335.935,32415.132,896007.0,Europe
South Africa,301.099,12294.876,59893884.0,Africa
Denmark,299.545,46682.515,5882259.0,Europe
Canada,286.626,44017.591,38454328.0,North America
Sweden,282.671,46949.283,10549349.0,Europe
Australia,212.817,44648.71,26177410.0,Oceania
Bolivia,199.033,6885.829,12224114.0,South America
Finland,196.544,40585.721,5540745.0,Europe
Norway,117.402,64800.057,5434324.0,Europe
Netherlands,109.201,48472.545,17564020.0,Europe
Afghanistan,,1803.987,41128772.0,Asia
Albania,,11803.431,2842318.0,Europe
Algeria,,13913.839,44903228.0,Africa
American Samoa,,,44295.0,Oceania
Andorra,,,79843.0,Europe
Angola,,5819.495,35588996.0,Africa
Anguilla,,,15877.0,North America
Antigua and Barbuda,,21490.943,93772.0,North America
Argentina,,18933.907,45510324.0,South America
Armenia,,8787.58,2780472.0,Asia
Aruba,,35973.781,106459.0,North America
Azerbaijan,,15847.419,10358078.0,Asia
Bahamas,,27717.847,409989.0,North America
Bahrain,,43290.705,1472237.0,Asia
Bangladesh,,3523.984,171186368.0,Asia
Barbados,,16978.068,281646.0,North America
Belarus,,17167.967,9534956.0,Europe
Belize,,7824.362,405285.0,North America
Benin,,2064.236,13352864.0,Africa
Bermuda,,50669.315,64207.0,North America
Bhutan,,8708.597,782457.0,Asia
Bonaire Sint Eustatius and Saba,,,27052.0,North America
Bosnia and Herzegovina,,11713.895,3233530.0,Europe
Botswana,,15807.374,2630300.0,Africa
Brazil,,14103.452,215313504.0,South America
British Virgin Islands,,,31332.0,North America
Brunei,,71809.251,449002.0,Asia
Burkina Faso,,1703.102,22673764.0,Africa
Burundi,,702.225,12889583.0,Africa
Cambodia,,3645.07,16767851.0,Asia
Cameroon,,3364.926,27914542.0,Africa
Cape Verde,,6222.554,593162.0,Africa
Cayman Islands,,49903.029,68722.0,North America
Central African Republic,,661.24,5579148.0,Africa
Chad,,1768.153,17723312.0,Africa
Chile,,22767.037,19603736.0,South America
China,,15308.712,1425887360.0,Asia
Colombia,,13254.949,51874028.0,South America
Comoros,,1413.89,836783.0,Africa
Congo,,4881.406,5970430.0,Africa
Cook Islands,,,17032.0,Oceania
Costa Rica,,15524.995,5180836.0,North America
Cote d'Ivoire,,3601.006,28160548.0,Africa
Cuba,,,11212198.0,North America
Curacao,,,191173.0,North America
Democratic Republic of Congo,,808.133,99010216.0,Africa
Djibouti,,2705.406,1120851.0,Africa
Dominica,,9673.367,72758.0,North America
Dominican Republic,,14600.861,11228821.0,North America
Ecuador,,10581.936,18001002.0,South America
Egypt,,10550.206,110990096.0,Africa
El Salvador,,7292.458,6336393.0,North America
Equatorial Guinea,,22604.873,1674916.0,Africa
Eritrea,,1510.459,3684041.0,Africa
Eswatini,,7738.975,1201680.0,Africa
Ethiopia,,1729.927,123379928.0,Africa
European Union,,,450146793.0,
Faeroe Islands,,,53117.0,Europe
Falkland Islands,,,3801.0,South America
Fiji,,8702.975,929769.0,Oceania
French Guiana,,,304568.0,South America
French Polynesia,,,306292.0,Oceania
Gabon,,16562.413,2388997.0,Africa
