location,max_value,gdp_per_capita
Afghanistan,1803.987,52330.0
Albania,11803.431,57146.0
Algeria,13913.839,99311.0
Angola,5819.495,17433.0
Antigua and Barbuda,21490.943,158.0
Argentina,18933.907,1674319.0
Armenia,8787.58,159409.0
Aruba,35973.781,5373.0
Australia,44648.71,28381.0
Austria,45436.686,352661.0
Azerbaijan,15847.419,216584.0
Bahamas,27717.847,7857.0
Bahrain,43290.705,92425.0
Bangladesh,3523.984,513510.0
Barbados,16978.068,372.0
Belarus,17167.967,192361.0
Belgium,42658.576,646434.0
Belize,7824.362,10668.0
Benin,2064.236,3251.0
Bermuda,50669.315,595.0
Bhutan,8708.597,670.0
Bolivia,6885.829,156887.0
Bosnia and Herzegovina,11713.895,110985.0
Botswana,15807.374,14637.0
Brazil,14103.452,7563551.0
Brunei,71809.251,157.0
Bulgaria,18563.307,201220.0
Burkina Faso,1703.102,6707.0
Burundi,702.225,818.0
Cambodia,3645.07,366.0
Cameroon,3364.926,26848.0
Canada,44017.591,565504.0
Cape Verde,6222.554,11793.0
Cayman Islands,49903.029,326.0
Central African Republic,661.24,5818.0
Chad,1768.153,2077.0
Chile,22767.037,605950.0
China,15308.712,96673.0
Colombia,13254.949,1614822.0
Comoros,1413.89,695.0
Congo,4881.406,6431.0
Costa Rica,15524.995,166799.0
Cote d'Ivoire,3601.006,22250.0
Croatia,22669.797,208446.0
Cyprus,32415.132,22347.0
Czechia,32605.906,723579.0
Democratic Republic of Congo,808.133,17657.0
Denmark,46682.515,161230.0
Djibouti,2705.406,5824.0
Dominica,9673.367,96.0
Dominican Republic,14600.861,169579.0
Ecuador,10581.936,211512.0
Egypt,10550.206,136644.0
El Salvador,7292.458,45960.0
Equatorial Guinea,22604.873,5277.0
Eritrea,1510.459,1252.0
Estonia,29481.252,28009.0
Eswatini,7738.975,9144.0
Ethiopia,1729.927,123856.0
Fiji,8702.975,49.0
Finland,40585.721,36171.0
France,38605.671,2564972.0
Gabon,16562.413,9571.0
Gambia,1561.767,3800.0
Georgia,9745.079,227420.0
Germany,45229.245,1734456.0
Ghana,4227.63,55064.0
Greece,24574.382,137918.0
Grenada,13593.877,128.0
Guatemala,7423.808,137166.0
Guinea,1998.926,13722.0
Guinea-Bissau,1548.675,2452.0
Guyana,7435.047,6301.0
Haiti,1653.173,9999.0
Honduras,4541.795,120912.0
Hong Kong,56054.92,
Hungary,26777.561,322514.0
Iceland,46482.958,5767.0
India,6426.674,10266674.0
Indonesia,11188.744,743198.0
Iran,19082.62,1218753.0
Iraq,15663.986,594442.0
Ireland,67335.293,89517.0
Israel,33132.32,419660.0
Italy,35220.084,2083689.0
Jamaica,8193.571,12793.0
Japan,39002.223,230304.0
Jordan,8337.49,293067.0
Kazakhstan,24055.588,200443.0
Kenya,2993.028,96251.0
Kiribati,1981.132,
Kosovo,9795.834,51101.0
Kuwait,65530.537,150298.0
Kyrgyzstan,3393.474,81034.0
Laos,6397.36,41.0
Latvia,25063.846,39043.0
Lebanon,13367.565,177996.0
Lesotho,2851.153,2577.0
Liberia,752.788,1854.0
Libya,17881.509,99935.0
Lithuania,29524.265,145051.0
Luxembourg,94277.965,46334.0
Madagascar,1416.44,17714.0
Malawi,1095.042,6471.0
Malaysia,26808.164,110485.0
Maldives,15183.616,13757.0
Mali,2014.306,7029.0
Malta,36513.323,12774.0
Marshall Islands,3819.202,4.0
Mauritania,3597.633,14191.0
Mauritius,20292.745,527.0
Mexico,17336.469,1496067.0
Micronesia (country),3299.464,
Moldova,5189.972,143841.0
Mongolia,11840.846,1195.0
Montenegro,16409.288,47668.0
Morocco,7485.013,437332.0
Mozambique,1136.103,18485.0
Myanmar,5591.597,124630.0
Namibia,9541.808,23932.0
Nauru,12895.635,
Nepal,2442.804,260593.0
Netherlands,48472.545,785874.0
New Zealand,36085.843,1807.0
Nicaragua,5321.444,4829.0
Niger,926.0,3208.0
Nigeria,5338.454,86576.0
North Macedonia,13111.214,83329.0
Norway,64800.057,49784.0
Oman,37960.709,128719.0
Pakistan,5034.708,477240.0
Palau,13240.405,
Palestine,4449.898,154097.0
Panama,22267.037,238279.0
Papua New Guinea,3823.194,780.0
Paraguay,8827.01,106136.0
Peru,12236.706,1010496.0
Philippines,7599.188,472523.0
Poland,27216.445,1297460.0
Portugal,27936.896,386764.0
Puerto Rico,35044.67,81082.0
Qatar,116935.6,143621.0
Romania,23313.199,627941.0
Russia,24765.954,3159297.0
Rwanda,1854.211,8250.0
Saint Kitts and Nevis,24654.385,32.0
Saint Lucia,12951.839,340.0
Saint Vincent and the Grenadines,10727.146,115.0
Samoa,6021.557,1.0
San Marino,56861.47,2350.0
Sao Tome and Principe,3052.714,1014.0
Saudi Arabia,49045.411,362601.0
Senegal,2470.58,18945.0
Serbia,14048.881,334991.0
Seychelles,26382.287,226.0
Sierra Leone,1390.3,2583.0
Singapore,85535.383,58569.0
Sint Maarten (Dutch part),36327.232,1423.0
Slovakia,30155.152,179543.0
Slovenia,31400.84,122262.0
Solomon Islands,2205.923,17.0
South Africa,12294.876,1039161.0
South Korea,35938.374,60722.0
South Sudan,1569.888,3540.0
Spain,34272.36,1955216.0
Sri Lanka,11669.077,43299.0
Sudan,4466.507,25500.0
Suriname,13767.119,6098.0
Sweden,46949.283,437300.0
Switzerland,57410.166,451142.0
Tajikistan,2896.913,13665.0
Tanzania,2683.304,509.0
Thailand,16277.671,6884.0
Timor,6570.102,44.0
Togo,1429.813,3611.0
Tonga,5425.621,
Trinidad and Tobago,28763.071,7132.0
Tunisia,10849.297,137216.0
Turkey,25129.341,2194272.0
Turkmenistan,16389.023,
Tuvalu,3575.104,
Uganda,1697.707,35220.0
Ukraine,7894.393,1055047.0
United Arab Emirates,67293.483,206092.0
United Kingdom,39753.244,2563567.0
United States,54225.446,19577585.0
Uruguay,20551.409,17962.0
Uzbekistan,6253.104,77060.0
Vanuatu,2921.909,1.0
Venezuela,16745.022,112861.0
Vietnam,6171.884,1456.0
World,15469.207,82933536.0
Yemen,1479.147,2101.0
Zambia,3689.251,20462.0
Zimbabwe,1899.775,13625.0
